Ensembl.ID	Gene.Symbol	GNF.GeneAtlas.Specificity
ENSMUSG00000003379	Cd79a	TRE
ENSMUSG00000003410	Elavl3	TRE
ENSMUSG00000003411	Rab3b	TRE
ENSMUSG00000003418	St8sia6	TRE
ENSMUSG00000003476	Crhr2	TRE
ENSMUSG00000003484	Cyp4f18	TRE
ENSMUSG00000003526	Prodh	TRE
ENSMUSG00000003545	Fosb	TRE
ENSMUSG00000003573	Homer3	TRE
ENSMUSG00000003585	Sec14l2	TRE
ENSMUSG00000003604	Aven	TRE
ENSMUSG00000003665	Has1	TRE
ENSMUSG00000003809	Gcdh	TRE
ENSMUSG00000003812	Dnase2a	TRE
ENSMUSG00000003849	Nqo1	TRE
ENSMUSG00000003865	Gys1	TRE
ENSMUSG00000003872	Lin7b	TRE
ENSMUSG00000003882	Il7r	TRE
ENSMUSG00000003934	Efnb3	TRE
ENSMUSG00000003974	Grm3	TRE
ENSMUSG00000004035	Gstm7	TRE
ENSMUSG00000004110	Cacna1e	TRE
ENSMUSG00000004113	Cacna1b	TRE
ENSMUSG00000004187	Kifc2	TRE
ENSMUSG00000004267	Eno2	TRE
ENSMUSG00000004328	Hif3a	TRE
ENSMUSG00000004341	Gpx6	TRE
ENSMUSG00000004344	Gpx5	TRE
ENSMUSG00000004359	Spic	TRE
ENSMUSG00000004415	Emid2	TRE
ENSMUSG00000004473	Clec11a	TRE
ENSMUSG00000004540	Psg17	TRE
ENSMUSG00000004609	Cd33	TRE
ENSMUSG00000004612	Nkg7	TRE
ENSMUSG00000004630	Pcp2	TRE
ENSMUSG00000004633	Chn2	TRE
ENSMUSG00000004651	Tyr	TRE
ENSMUSG00000004661	Arid3b	TRE
ENSMUSG00000004668	Abca13	TRE
ENSMUSG00000004707	Ly9	TRE
ENSMUSG00000004709	Cd244	TRE
ENSMUSG00000004730	Emr1	TRE
ENSMUSG00000004837	Grap	TRE
ENSMUSG00000004842	Pou1f1	TRE
ENSMUSG00000004902	Slc25a18	TRE
ENSMUSG00000004929	Thop1	TRE
ENSMUSG00000004933	Matk	TRE
ENSMUSG00000004934	Pias4	TRE
ENSMUSG00000004939	Itgb1bp3	TRE
ENSMUSG00000004948	Zp3	TRE
ENSMUSG00000004952	Rasa4	TRE
ENSMUSG00000004961	Syt5	TRE
ENSMUSG00000004988	Fxyd4	TRE
ENSMUSG00000004994	Ccdc130	TRE
ENSMUSG00000005045	Chd5	TRE
ENSMUSG00000005057	Sh2b2	TRE
ENSMUSG00000005089	Slc1a2	TRE
ENSMUSG00000005124	Wisp1	TRE
ENSMUSG00000005131	4930550C14Rik	TRE
ENSMUSG00000005220	Corin	TRE
ENSMUSG00000005232	G6pc2	TRE
ENSMUSG00000005237	Dnahc2	TRE
ENSMUSG00000005357	Slc1a6	TRE
ENSMUSG00000005364	Il5ra	TRE
ENSMUSG00000005373	Mlxipl	TRE
ENSMUSG00000005465	Il27ra	TRE
ENSMUSG00000005493	Msh4	TRE
ENSMUSG00000005540	Fcer2a	TRE
ENSMUSG00000005547	Cyp2a5	TRE
ENSMUSG00000005553	Atp4a	TRE
ENSMUSG00000005611	Mrvi1	TRE
ENSMUSG00000005628	Tmod4	TRE
ENSMUSG00000005677	Nr1i3	TRE
ENSMUSG00000005681	Apoa2	TRE
ENSMUSG00000005696	Sh2d1a	TRE
ENSMUSG00000005699	Pard6a	TRE
ENSMUSG00000005705	Agrp	TRE
ENSMUSG00000005763	Cd247	TRE
ENSMUSG00000005800	Mmp8	TRE
ENSMUSG00000005824	Tnfsf14	TRE
ENSMUSG00000005883	Spo11	TRE
ENSMUSG00000005947	Itgae	TRE
ENSMUSG00000005950	P2rx5	TRE
ENSMUSG00000005951	Shpk	TRE
ENSMUSG00000005980	Dnase1	TRE
ENSMUSG00000005983	1700037C18Rik	TRE
ENSMUSG00000005986	Ankrd13d	TRE
ENSMUSG00000006014	Prg4	TRE
ENSMUSG00000006019	Dhx34	TRE
ENSMUSG00000006143	2310043J07Rik	TRE
ENSMUSG00000006204	5430419D17Rik	TRE
ENSMUSG00000006235	Epor	TRE
ENSMUSG00000006241	Ccdc159	TRE
ENSMUSG00000006269	Atp6v1b1	TRE
ENSMUSG00000006310	Zbtb32	TRE
ENSMUSG00000006313	Upk1a	TRE
ENSMUSG00000006344	Ggt5	TRE
ENSMUSG00000006345	Ggt1	TRE
ENSMUSG00000006378	Gcat	TRE
ENSMUSG00000006386	Tek	TRE
ENSMUSG00000006389	Mpl	TRE
ENSMUSG00000006403	Adamts4	TRE
ENSMUSG00000006411	Pvrl4	TRE
ENSMUSG00000006435	Neurl1a	TRE
ENSMUSG00000006445	Epha2	TRE
ENSMUSG00000006457	Actn3	TRE
ENSMUSG00000006464	Bbs1	TRE
ENSMUSG00000006469	Slc34a3	TRE
ENSMUSG00000006522	Itih3	TRE
ENSMUSG00000006526	Tmem110	TRE
ENSMUSG00000006529	Itih1	TRE
ENSMUSG00000006542	Prkag3	TRE
ENSMUSG00000006567	Atp7b	TRE
ENSMUSG00000006575	Rundc3a	TRE
ENSMUSG00000006641	Slc5a6	TRE
ENSMUSG00000006649	Nphs1	TRE
ENSMUSG00000006651	Aplp1	TRE
ENSMUSG00000006711	D130043K22Rik	TRE
ENSMUSG00000006720	Zfp184	TRE
ENSMUSG00000006784	Ttc25	TRE
ENSMUSG00000006850	Tmco6	TRE
ENSMUSG00000006930	Hap1	TRE
ENSMUSG00000007021	Syngr3	TRE
ENSMUSG00000007033	Hspa1l	TRE
ENSMUSG00000007034	Slc44a4	TRE
ENSMUSG00000007050	Lsm2	TRE
ENSMUSG00000007107	Atp1a4	TRE
ENSMUSG00000007207	Stx1a	TRE
ENSMUSG00000007279	Scube2	TRE
ENSMUSG00000007379	Dennd2c	TRE
ENSMUSG00000007480	Mc5r	TRE
ENSMUSG00000007591	Tssk4	TRE
ENSMUSG00000007617	Homer1	TRE
ENSMUSG00000007653	Gabrb2	TRE
ENSMUSG00000007682	Dio2	TRE
ENSMUSG00000007805	Twist2	TRE
ENSMUSG00000007888	Crlf1	TRE
ENSMUSG00000007908	Hmgcll1	TRE
ENSMUSG00000007944	Ttc9b	TRE
ENSMUSG00000007989	Fzd3	TRE
ENSMUSG00000008028	1700008O03Rik	TRE
ENSMUSG00000008129	4930432K21Rik	TRE
ENSMUSG00000008136	Fhl2	TRE
ENSMUSG00000008153	Clstn3	TRE
ENSMUSG00000008193	Spib	TRE
ENSMUSG00000008307	1700109H08Rik	TRE
ENSMUSG00000008318	Relt	TRE
ENSMUSG00000008438	Adam21	TRE
ENSMUSG00000008482	Rnf151	TRE
ENSMUSG00000008489	Elavl2	TRE
ENSMUSG00000008496	Pou2f2	TRE
ENSMUSG00000008658	Rbfox1	TRE
