"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_name","celltype"
9.1384376328383e-35,1.32707586062203,0.896,0.641,1.89887595572747e-30,4,"ENSMUSG00000022014","Epsti1","TC III"
5.00306915055445e-37,1.34334067833309,0.737,0.35,1.03958773879371e-32,4,"ENSMUSG00000097305","Gm17276","TC III"
4.6843947545643e-42,1.38339058528959,0.717,0.303,9.73370386050916e-38,4,"ENSMUSG00000016763","Scube1","TC III"
4.38744914075841e-60,1.40936859253435,0.952,0.738,9.1166805695819e-56,4,"ENSMUSG00000095041","AC149090.1","TC III"
1.60804136469734e-47,1.41576929498559,0.777,0.363,3.34134915170459e-43,4,"ENSMUSG00000021662","Arhgef28","TC III"
4.69733372283513e-42,1.42048428476263,0.558,0.145,9.76058974267911e-38,4,"ENSMUSG00000016283","H2-M2","TC III"
1.03935744361914e-37,1.43304450208315,0.661,0.258,2.15968083209621e-33,4,"ENSMUSG00000063506","Arhgap22","TC III"
6.59969785652942e-92,1.4385116640245,0.984,0.772,1.37135121760825e-87,4,"ENSMUSG00000022263","Trio","TC III"
3.64912913099171e-32,1.46507161542038,0.319,0.048,7.58252542128767e-28,4,"ENSMUSG00000028528","Dnajc6","TC III"
2.6535700567752e-90,1.46881478477832,0.98,0.612,5.51385322097319e-86,4,"ENSMUSG00000074151","Nlrc5","TC III"
8.27362999484765e-78,1.48570382412671,0.968,0.587,1.71917757662939e-73,4,"ENSMUSG00000023032","Slc4a8","TC III"
7.23032252786879e-45,1.48893382754813,0.542,0.144,1.50238871806586e-40,4,"ENSMUSG00000039200","Atf7ip2","TC III"
1.32394907953978e-64,1.50161873768286,0.857,0.374,2.7510337923757e-60,4,"ENSMUSG00000038267","Slc22a23","TC III"
9.72779717807059e-16,1.54864602347031,0.47,0.27,2.02133897563129e-11,4,"ENSMUSG00000032350","Gclc","TC III"
1.07959066932467e-47,1.57659183118782,0.709,0.32,2.24328145178973e-43,4,"ENSMUSG00000040430","Pitpnc1","TC III"
2.25550306318799e-74,1.61482735335837,0.789,0.265,4.68670981499832e-70,4,"ENSMUSG00000028572","Hook1","TC III"
5.28206667731484e-80,1.6440967427285,0.912,0.368,1.09756063487925e-75,4,"ENSMUSG00000034265","Zdhhc14","TC III"
3.70575453200542e-67,1.64450114438338,0.661,0.188,7.70018734205407e-63,4,"ENSMUSG00000028965","Tnfrsf9","TC III"
9.06540902347604e-61,1.66031354169798,0.865,0.421,1.88370134098809e-56,4,"ENSMUSG00000025279","Dnase1l3","TC III"
2.89795400156612e-56,1.76315440625965,0.645,0.17,6.02165861985423e-52,4,"ENSMUSG00000029765","Plxna4","TC III"
1.316471640928e-49,1.76486263082942,0.665,0.26,2.7354964226843e-45,4,"ENSMUSG00000032087","Dscaml1","TC III"
2.48232998166305e-113,1.8533479391763,0.701,0.058,5.15803346889764e-109,4,"ENSMUSG00000033508","Asprv1","TC III"
3.30124666239325e-126,1.88675438659185,0.996,0.779,6.85966043978694e-122,4,"ENSMUSG00000037110","Ralgapa2","TC III"
1.86378891494162e-108,1.96408894319187,0.98,0.721,3.8727669863572e-104,4,"ENSMUSG00000029772","Ahcyl2","TC III"
8.91838823438531e-102,2.01615370233367,0.661,0.056,1.85315189122292e-97,4,"ENSMUSG00000047793","Sned1","TC III"
1.19252421933909e-30,2.05480675408141,0.446,0.184,2.4779460753647e-26,4,"ENSMUSG00000041078","Grid1","TC III"
1.74586789173214e-123,2.31588869085051,0.892,0.221,3.6277388922302e-119,4,"ENSMUSG00000035498","Cdcp1","TC III"
9.50802041529853e-124,2.47781124642544,0.833,0.157,1.97567156209488e-119,4,"ENSMUSG00000000731","Aire","TC III"
1.62928038860787e-116,2.54224899467421,0.653,0.049,3.38548171948829e-112,4,"ENSMUSG00000039706","Ldb2","TC III"
2.62501246604688e-42,0.886080405714961,0.399,0.104,5.4545134031988e-38,5,"ENSMUSG00000048027","Rgmb","TC IV"
1.77536248309765e-32,0.890913931182346,0.558,0.288,3.6890257036286e-28,5,"ENSMUSG00000028098","Rnf115","TC IV"
6.77813498374042e-49,0.892154241084138,0.219,0.006,1.40842866827142e-44,5,"ENSMUSG00000011256","Adam19","TC IV"
1.40276468477749e-49,0.893402453762111,0.746,0.368,2.91480473849916e-45,5,"ENSMUSG00000048163","Selplg","TC IV"
8.66829937549805e-34,0.900621667961701,0.46,0.179,1.80118592723474e-29,5,"ENSMUSG00000022508","Bcl6","TC IV"
1.48671326517831e-35,0.908228069934919,0.696,0.434,3.08924149371401e-31,5,"ENSMUSG00000028412","Slc44a1","TC IV"
4.37599017798822e-53,0.911069300100621,0.965,0.78,9.09286999084171e-49,5,"ENSMUSG00000024789","Jak2","TC IV"
1.49149837962318e-87,0.912132538774511,0.998,0.889,3.099184483019e-83,5,"ENSMUSG00000045763","Basp1","TC IV"
3.64615362407279e-28,0.914909632448344,0.711,0.494,7.57634261546085e-24,5,"ENSMUSG00000026728","Vim","TC IV"
4.40618690723187e-49,0.9159243439911,0.562,0.198,9.15561577453711e-45,5,"ENSMUSG00000033530","Ttc7b","TC IV"
2.043495836454e-46,0.926230847105364,0.82,0.475,4.24617999856776e-42,5,"ENSMUSG00000038729","Pakap","TC IV"
5.95713075838791e-33,0.927795716001549,0.199,0.018,1.23783220028542e-28,5,"ENSMUSG00000000416","Cttnbp2","TC IV"
4.70536876418744e-33,0.932669732227814,0.74,0.538,9.77728575510509e-29,5,"ENSMUSG00000026031","Cflar","TC IV"
1.00056344511547e-15,0.937183396526571,0.323,0.191,2.07907078260544e-11,5,"ENSMUSG00000022303","Dcstamp","TC IV"
3.3239577466572e-58,0.943812605157922,0.803,0.408,6.90685180177899e-54,5,"ENSMUSG00000027339","Rassf2","TC IV"
3.5117653401036e-43,0.944986880242201,0.833,0.611,7.29709720020128e-39,5,"ENSMUSG00000015837","Sqstm1","TC IV"
4.11110341566941e-20,0.949431246543599,0.343,0.143,8.54246178741947e-16,5,"ENSMUSG00000007659","Bcl2l1","TC IV"
5.41634103038452e-55,0.951550070377993,0.924,0.697,1.1254615027036e-50,5,"ENSMUSG00000028159","Dapp1","TC IV"
4.68341135822303e-34,0.955766036506462,0.373,0.112,9.73166046125163e-30,5,"ENSMUSG00000038175","Mylip","TC IV"
1.90649026714521e-24,0.957332673753925,0.356,0.146,3.96149612610102e-20,5,"ENSMUSG00000071713","Csf2rb","TC IV"
5.40014624129207e-28,0.962170562506447,0.816,0.681,1.12209638747808e-23,5,"ENSMUSG00000026740","Dnajc1","TC IV"
1.8519540106711e-22,0.963811682400161,0.603,0.389,3.84817523877347e-18,5,"ENSMUSG00000017652","Cd40","TC IV"
1.05956730016118e-45,0.96724185479957,0.69,0.334,2.20167489300491e-41,5,"ENSMUSG00000026657","Frmd4a","TC IV"
7.91654078029563e-53,0.97145826015443,0.551,0.166,1.64497800873763e-48,5,"ENSMUSG00000042807","Hecw2","TC IV"
9.45121186164355e-31,0.975990203982059,0.69,0.44,1.96386731273091e-26,5,"ENSMUSG00000064090","Vrk2","TC IV"
4.38527107461577e-52,0.977157854868217,0.829,0.464,9.1121547659441e-48,5,"ENSMUSG00000029822","Osbpl3","TC IV"
1.61749089164477e-50,0.979382006707265,0.44,0.11,3.36098432374868e-46,5,"ENSMUSG00000001750","Tcirg1","TC IV"
